Publication Title,Publication Title
Human-Computer Interaction - INTERACT 2017,1
Human-Centric Intelligent Systems,1
"Human Interface and the Management of Information. Interaction, Visualization, and Analytics",1
Human Interface and the Management of Information. Information in Intelligent Systems,1
Human Behavior Analysis: Sensing and Understanding,1
Intelligent Computing Methodologies,1
Intelligent Computing and Internet of Things,1
How to Compete in the Age of Artificial Intelligence,1
Learning Technology for Education Challenges,1
Knowledge Graph and Semantic Computing. Knowledge Computing and Language Understanding,1
"Knowledge Graph and Semantic Computing. Language, Knowledge, and Intelligence",1
Knowledge Graph and Semantic Computing: Knowledge Computing and Language Understanding,1
Knowledge Graph and Semantic Computing: Knowledge Graph and Cognitive Intelligence,1
Knowledge Graphs,1
Knowledge Management in Organizations,1
Learning and Collaboration Technologies. Human and Technology Ecosystems,1
"Intelligent Computing, Networked Control, and Their Engineering Applications",1
Lecture Notes in Geoinformation and Cartography,1
Lecture Notes in Social Networks,1
Lifelong Technology-Enhanced Learning,1
Linking Theory and Practice of Digital Libraries,1
Low Resource Social Media Text Mining,1
Machine Intelligence Research,1
Knowledge Engineering and Semantic Web,1
KI 2022: Advances in Artificial Intelligence,1
KI - Künstliche Intelligenz,1
Journal of Network and Systems Management,1
Journal of Communications and Information Networks,1
Journal of Automated Reasoning,1
Introduction to Deep Learning Business Applications for Developers,1
Interpreting Machine Learning Models,1
"Interpretability of Machine Intelligence in Medical Image Computing, and Topological Data Analysis and Its Applications for Medical Data",1
Internet of Things Based Smart Healthcare,1
Interactivity and Game Creation,1
Intelligent Tutoring Systems,1
Intelligent Systems and Pattern Recognition,1
Intelligent Robotics and Applications,1
Intelligent Information Processing IX,1
Intelligent Data Engineering and Automated Learning – IDEAL 2021,1
Intelligent Data Engineering and Automated Learning – IDEAL 2018,1
Human Aspects of Information Security and Assurance,1
Highlights of Practical Applications of Cyber-Physical Multi-Agent Systems,1
Deep Learning and Convolutional Neural Networks for Medical Image Computing,1
Electrical and Computer Engineering,1
Domain Adaptation in Computer Vision with Deep Learning,1
Domain-Specific Knowledge Graph Construction,1
E-Learning and Games,1
"Economics of Grids, Clouds, Systems, and Services",1
Edition HMD,1
