Publication Title,Publication Title
"Computational Intelligence, Cyber Security and Computational Models. Models and Techniques for Intelligent Systems and Automation",1
"Computational Intelligence, Cyber Security and Computational Models. Recent Trends in Computational Models, Intelligent and Secure Systems",1
Computational Neuroscience,1
Computational Science and Its Applications – ICCSA 2017,1
Computational and Corpus-Based Phraseology,1
Computer Engineering and Technology,1
"Computer Safety, Reliability, and Security",1
Computer Science Protecting Human Society Against Epidemics,1
Cognitive Intelligence and Robotics,1
Co-creating for Context in the Transfer and Diffusion of IT,1
Differential Privacy and Applications,1
Cloud-Based Benchmarking of Medical Image Analysis,1
Blended Learning. Education in a Smart Learning Environment,1
Blended Learning. New Challenges and Innovative Practices,1
Blockchain and Trustworthy Systems,1
Broad Learning Through Fusions,1
Building an Enterprise Chatbot,1
Business Information Systems Workshops,1
Business Process Management,1
Business and Consumer Analytics: New Ideas,1
CCF Transactions on Networking,1
Case-Based Reasoning Research and Development,1
Chinese Computational  Linguistics,1
Chinese Lexical Semantics,1
Claudio Moraga: A Passion for Multi-Valued Logic and Soft Computing,1
Cloud Computing,1
Cloud Computing and Service Science,1
"Cloud Computing, Security, Privacy in New Computing Environments",1
"Cloud Computing, Smart Grid and Innovative Frontiers in Telecommunications",1
Computer Science – CACIC 2017,1
Computer Security – ESORICS 2020,1
Computer Simulation Validation,1
Computer Vision –  ACCV 2016,1
Data Visualization,1
Data and Applications Security and Privacy XXXI,1
Data and Applications Security and Privacy XXXVI,1
Database and Expert Systems Applications - DEXA 2021 Workshops,1
Datenanonymisierung im Kontext von Künstlicher Intelligenz und Big Data,1
Decision Support Systems X: Cognitive Decision Support Systems and Technologies,1
Deep Learning Approaches to Text Production,1
Deep Learning Projects Using TensorFlow 2,1
Deep Learning and Convolutional Neural Networks for Medical Image Computing,1
Deep Learning and Practice with MindSpore,1
Deep Learning for Natural Language Processing,1
"Dependability in Sensor, Cloud, and Big Data Systems and Applications",1
"Design, Operation  and Evaluation of  Mobile Communications",1
"Design, User Experience, and Usability: Design Thinking and Practice in Contemporary and Emerging Technologies",1
Designing for Digital Transformation. Co-Creating Services with Citizens and Industry,1
